parent_station,stop_lon,stop_lat,stop_id,stop_name,location_type
,-4.0197472,5.3225013,node/6474137980,Galerie du Parc,0
,-4.0247204,5.3339569,node/6474137981,Camp Galliéni,0
,-4.026107,5.3386571,node/6474137982,Institut National de la Santé Publique,0
,-4.0260496,5.343713,node/6474137983,Mairie d'Adjamé,0
,-4.0258452,5.3459921,node/6474137984,Marché Forum,0
,-4.0255664,5.3503682,node/6474138985,Pharmacie du Banco,0
,-4.0259071,5.3534527,node/6474138986,Grande Mosquée Adjamé,0
,-4.028099,5.3586829,node/6474138987,Gare Nord,0
,-4.0263861,5.3765774,node/6474138988,Macaci,0
,-4.021035,5.3906844,node/6474138989,Filtisac,0
,-4.0162969,5.4085961,node/6474138990,Anador,0
,-4.0162419,5.4135848,node/6474138991,Banco,0
,-4.0173344,5.4183764,node/6474138992,Saint-Joseph 2ème Arrêt,0
,-4.0190818,5.4237125,node/6474138993,Terminus Gendarmerie Abobo,0
,-4.020231,5.4315506,node/6474138994,Bar Ivoire Abobo,0
,-4.0203886,5.4363436,node/6474138995,DGI Abobo,0
,-4.0189201,5.4382274,node/6474138996,Avenue Kaza,0
,-4.0138587,5.4383936,node/6474138997,Carrefour Akeïkoi,0
,-4.0190673,5.3149589,node/6474138999,Terminus Gare Sud,0
,-4.0127537,5.4350792,node/6474139031,Cité Universitaire Abobo,0
,-4.0154322,5.4354761,node/6474139033,Quai 15,0
,-3.9641507,5.3580852,node/6815808830,Station Shell Riviera 3,0
,-3.9591336,5.3620442,node/6815808831,Carrefour Palmeraie,0
,-3.9744202,5.3865761,node/6815808833,CNPS 9ème Tranche,0
,-3.9780418,5.4010646,node/6815808834,Marché COCOVICO,0
,-3.9618125,5.3738506,node/6815808839,Quick Market,0
,-3.9618581,5.3737728,node/6815808840,Quick Market,0
,-3.9635563,5.3776142,node/6815808842,Commissariat 35è Art.,0
,-3.9745308,5.3866021,node/6815808843,CNPS 9ème Tranche,0
,-3.9781939,5.4010482,node/6815808844,Marché COCOVICO,0
