line_id,route_id
r11596432,r11596431
r11596455,r11596454
r11596455,r11596453
r11596584,r11596582
r11596584,r11596583
r11596698,r11596696
r11596698,r11596697
r11596735,r11596734
r11596735,r11596733
r11596752,r11596751
r11596752,r11596750
r11596793,r11596792
r11596793,r11596791
r11596832,r11596830
r11596832,r11596831
r11596845,r11596844
r11596845,r11596843
r11596868,r11596867
r11596868,r11596866
r11596890,r11596888
r11596890,r11596889
r11597012,r11597011
r11597012,r11597010
r11597021,r11597019
r11597021,r11597020
r11597137,r11597136
r11597137,r11597122
r11597169,r11597168
r11597169,r11597167
r11597201,r11597200
r11597201,r11597199
r11597456,r11597454
r11597456,r11597455
r11600234,r11600233
r11600234,r11600232
r11600299,r11600298
r11600299,r11600297
r11600482,r11600481
r11600482,r11600480
r11600997,r11600995
r11600997,r11600996
r11604247,r11604246
r11604247,r11604245
r11619625,r11619623
r11619625,r11619624
r11619658,r11619657
r11619658,r11619656
r11619704,r11619703
r11619704,r11619702
r11619877,r11619876
r11619877,r11619875
r11619939,r11619937
r11619939,r11619938
r11620000,r11619998
r11620000,r11619999
r11620022,r11620020
r11620022,r11620021
r11620051,r11620049
r11620051,r11620050
r11620886,r11620884
r11620886,r11620885
r11620905,r11620903
r11620905,r11620904
r11702225,r11702223
r11702225,r11702224
r11702278,r11702276
r11702278,r11702277
r11702376,r11702375
r11702376,r11702374
r11702381,r11702380
r11702381,r11702379
r11702592,r11702591
r11702592,r11702590
r11702772,r11702771
r11702772,r11702770
r11702874,r11702873
r11702874,r11702872
r11702965,r11702963
r11702965,r11702964
r11703071,r11703070
r11703071,r11703069
r11703076,r11703074
r11703076,r11703075
r11703113,r11703112
r11703113,r11703111
r11703128,r11703127
r11703128,r11703126
r11703171,r11703169
r11703171,r11703170
r11703223,r11703221
r11703223,r11703222
r11703304,r11703303
r11703304,r11703302
r11758498,r11758496
r11758498,r11758497
r11758556,r11758555
r11758556,r11758554
r13411244,r13411242
r13411244,r13411243
r13421219,r13421218
r13421219,r13421217
r13421393,r13421391
r13421393,r13421392
r13423262,r13423260
r13423262,r13423261
r13423303,r13423302
r13423303,r13423301
r13438124,r13438123
r13438124,r13438122
r13438313,r13438312
r13438313,r13438311
r13463948,r13463947
r13463948,r13463946
r13466128,r13466127
r13466128,r13466126
r13469152,r13469151
r13469152,r13469150
r13469249,r13469248
r13469249,r13469247
r13486886,r13486884
r13486886,r13486885
r13486931,r13486930
r13486931,r13486929
r13486952,r13486951
r13486952,r13486950
r13486968,r13486967
r13486968,r13486966
r13486974,r13486973
r13486974,r13486972
r13486989,r13486988
r13486989,r13486987
r13487010,r13487009
r13487010,r13487008
r13487772,r13487771
r13487772,r13487770
r13487952,r13487950
r13487952,r13487951
r13488047,r13488045
r13488047,r13488046
r13489593,r13489591
r13489593,r13489592
r13491534,r13491532
r13491534,r13491533
r13491913,r13491911
r13491913,r13491912
r13492204,r13492202
r13492204,r13492203
r13492314,r13492312
r13492314,r13492313
r13493717,r13493716
r13493717,r13493715
r13494497,r13494495
r13494497,r13494496
r13494647,r13494646
r13494647,r13494645
r13494705,r13494703
r13494705,r13494704
r13494711,r13494710
r13494711,r13494709
r13494764,r13494763
r13494764,r13494762
r13494776,r13494775
r13494776,r13494774
r13494859,r13494857
r13494859,r13494858
r13495116,r13495114
r13495116,r13495115
r13495195,r13495194
r13495195,r13495193
r13495201,r13495199
r13495201,r13495200
r13496911,r13496910
r13496911,r13496909
r13497450,r13497449
r13497450,r13497448
r13497827,r13497826
r13497827,r13497825
r13498052,r13498051
r13498052,r13498050
r13498096,r13498095
r13498096,r13498094
r13498116,r13498115
r13498116,r13498114
r13499112,r13499111
r13499112,r13499110
r13499675,r13499674
r13499675,r13499673
r13499973,r13499972
r13499973,r13499971
r13500113,r13500112
r13500113,r13500111
r13500219,r13500218
r13500219,r13500217
r13531691,r13531690
r13531691,r13531689
r13531849,r13531847
r13531849,r13531848
r13531947,r13531946
r13531947,r13531945
r13532024,r13532022
r13532024,r13532023
r13532225,r13532223
r13532225,r13532224
r13532726,r13532724
r13532726,r13532725
r13532887,r13532885
r13532887,r13532886
r13533699,r13533698
r13533699,r13533697
