route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
r11597169,Mo-Su,r11597167_Mo-Su,Abobo Gendarmerie,1,r11597167
r11597201,Mo-Su,r11597200_Mo-Su,Habitat grace,0,r11597200
r11597201,Mo-Su,r11597199_Mo-Su,Abobo Marché,1,r11597199
r11597456,Mo-Su,r11597454_Mo-Su,Abobo Marché,0,r11597454
r11597456,Mo-Su,r11597455_Mo-Su,Abobo Baoulé,1,r11597455
r11600234,Mo-Su,r11600233_Mo-Su,Houphouet-Boigny,0,r11600233
r11600234,Mo-Su,r11600232_Mo-Su,Abobo Gendarmerie,1,r11600232
r11600299,Mo-Su,r11600298_Mo-Su,Abobo Baoulé,0,r11600298
r11600299,Mo-Su,r11600297_Mo-Su,Abobo Samaké,1,r11600297
r11600482,Mo-Su,r11600481_Mo-Su,Mosquée Ado,0,r11600481
r11600482,Mo-Su,r11600480_Mo-Su,Carrefour Kennedy,1,r11600480
r11600997,Mo-Su,r11600995_Mo-Su,Adjamé Liberté,0,r11600995
r11600997,Mo-Su,r11600996_Mo-Su,Abobo Gare Mairie,1,r11600996
r11604247,Mo-Su,r11604246_Mo-Su,Biabou,0,r11604246
r11604247,Mo-Su,r11604245_Mo-Su,Abobo Samaké,1,r11604245
r11619625,Mo-Su,r11619623_Mo-Su,Terminus 40,0,r11619623
r11619625,Mo-Su,r11619624_Mo-Su,Camp Militaire,1,r11619624
r11619658,Mo-Su,r11619657_Mo-Su,Toit rouge Jean-Paul 2,0,r11619657
r11619658,Mo-Su,r11619656_Mo-Su,Terminus 40,1,r11619656
r11619704,Mo-Su,r11619703_Mo-Su,Terminus 40,0,r11619703
r11619704,Mo-Su,r11619702_Mo-Su,Abobo Doumé,1,r11619702
r11619877,Mo-Su,r11619876_Mo-Su,Songon Agban,0,r11619876
r11619877,Mo-Su,r11619875_Mo-Su,Siporex,1,r11619875
r11619939,Mo-Su,r11619937_Mo-Su,Sable,0,r11619937
r11619939,Mo-Su,r11619938_Mo-Su,Koweit,1,r11619938
r11620000,Mo-Su,r11619998_Mo-Su,Yopougon Siporex,0,r11619998
r11620000,Mo-Su,r11619999_Mo-Su,Yopougon Lokoa,1,r11619999
r11620022,Mo-Su,r11620020_Mo-Su,Yopougon Siporex,0,r11620020
r11620022,Mo-Su,r11620021_Mo-Su,Yopougon Académie,1,r11620021
r11620051,Mo-Su,r11620049_Mo-Su,Yopougon Siporex,0,r11620049
r11620051,Mo-Su,r11620050_Mo-Su,Yopougon Gesco,1,r11620050
r11620886,Mo-Su,r11620884_Mo-Su,Yopougon Acamedie,0,r11620884
r11620886,Mo-Su,r11620885_Mo-Su,Yopougon Diop,1,r11620885
r11620905,Mo-Su,r11620903_Mo-Su,Yopougon Siporex,0,r11620903
r11620905,Mo-Su,r11620904_Mo-Su,Yopougon IGES,1,r11620904
r11702225,Mo-Su,r11702223_Mo-Su,Terre Rouge,0,r11702223
r11702225,Mo-Su,r11702224_Mo-Su,Carrefour deux poteaux,1,r11702224
r11702278,Mo-Su,r11702276_Mo-Su,Terre Rouge,0,r11702276
r11702278,Mo-Su,r11702277_Mo-Su,Benogosso,1,r11702277
r11702376,Mo-Su,r11702375_Mo-Su,Ndotre,0,r11702375
r11702376,Mo-Su,r11702374_Mo-Su,Yopougon Carrefour zone,1,r11702374
r11702381,Mo-Su,r11702380_Mo-Su,Zone industrielle,0,r11702380
r11702381,Mo-Su,r11702379_Mo-Su,Marché 23è,1,r11702379
r11702592,Mo-Su,r11702591_Mo-Su,Abobo Agripac,0,r11702591
r11702592,Mo-Su,r11702590_Mo-Su,Yopougon Carrefour zone,1,r11702590
r11702772,Mo-Su,r11702771_Mo-Su,Biabou,0,r11702771
r11702772,Mo-Su,r11702770_Mo-Su,Abobo Marché,1,r11702770
r11702874,Mo-Su,r11702873_Mo-Su,Beago Wolosso,0,r11702873
r11702874,Mo-Su,r11702872_Mo-Su,Yopougon Palais,1,r11702872
r11702965,Mo-Su,r11702963_Mo-Su,Zone Industrielle,0,r11702963
r11702965,Mo-Su,r11702964_Mo-Su,Yopougon Koweit,1,r11702964
r11703071,Mo-Su,r11703070_Mo-Su,Gesco,0,r11703070
r11703071,Mo-Su,r11703069_Mo-Su,Zone Industrielle,1,r11703069
r11703076,Mo-Su,r11703074_Mo-Su,Casier,0,r11703074
r11703076,Mo-Su,r11703075_Mo-Su,Belleville,1,r11703075
r11703113,Mo-Su,r11703112_Mo-Su,Terminus Mobiobi,0,r11703112
r11703113,Mo-Su,r11703111_Mo-Su,Mobiobi,1,r11703111
r11703128,Mo-Su,r11703127_Mo-Su,Attecoubé Garage,0,r11703127
r11703128,Mo-Su,r11703126_Mo-Su,Yopougon Locodjro Marine,1,r11703126
r11703171,Mo-Su,r11703169_Mo-Su,Gonzagueville Corridor,0,r11703169
r11703171,Mo-Su,r11703170_Mo-Su,Éléphant,1,r11703170
r11703223,Mo-Su,r11703221_Mo-Su,Gonzagueville Corridor,0,r11703221
r11703223,Mo-Su,r11703222_Mo-Su,Abraham,1,r11703222
r11703304,Mo-Su,r11703303_Mo-Su,Usine,0,r11703303
r11703304,Mo-Su,r11703302_Mo-Su,Gonzagueville Corridor,1,r11703302
r11758498,Mo-Su,r11758496_Mo-Su,Yopougon IGES,0,r11758496
r11758498,Mo-Su,r11758497_Mo-Su,Adjame mosquée en bas du pont,1,r11758497
r11758556,Mo-Su,r11758555_Mo-Su,Yopougon Lubafrique,0,r11758555
r11758556,Mo-Su,r11758554_Mo-Su,Adjamé Texaco,1,r11758554
