trip_id,start_time,end_time,headway_secs
r10413160_Mo-Su,05:00:00,22:00:00,3600
r10413252_Mo-Su,05:00:00,22:00:00,3600
r10413251_Mo-Su,05:00:00,22:00:00,3600
r10413685_Mo-Su,05:00:00,22:00:00,3600
r10413684_Mo-Su,05:00:00,22:00:00,3600
r10416508_Mo-Su,05:00:00,22:00:00,3600
r10416509_Mo-Su,05:00:00,22:00:00,3600
r10416735_Mo-Su,05:00:00,22:00:00,3600
r10416734_Mo-Su,05:00:00,22:00:00,3600
r10430126_Mo-Su,05:00:00,22:00:00,900
r10430125_Mo-Su,05:00:00,22:00:00,900
r10430196_Mo-Su,05:00:00,22:00:00,3600
r10430195_Mo-Su,05:00:00,22:00:00,3600
r10430591_Mo-Su,05:00:00,22:00:00,3600
r10430592_Mo-Su,05:00:00,22:00:00,3600
r10430626_Mo-Su,05:00:00,22:00:00,900
r10430625_Mo-Su,05:00:00,22:00:00,900
r10431100_Mo-Su,05:00:00,22:00:00,3600
r10431101_Mo-Su,05:00:00,22:00:00,3600
r10442362_Mo-Su,05:00:00,07:00:00,2400
r10442362_Mo-Su,07:00:00,09:00:00,1800
r10442362_Mo-Su,09:00:00,17:00:00,1080
r10442362_Mo-Su,17:00:00,20:00:00,1080
r10442363_Mo-Su,05:00:00,07:00:00,2400
r10442363_Mo-Su,07:00:00,09:00:00,1800
r10442363_Mo-Su,09:00:00,17:00:00,1080
r10442363_Mo-Su,17:00:00,20:00:00,1080
r10459359_Mo-Su,05:00:00,22:00:00,3600
r10459358_Mo-Su,05:00:00,22:00:00,3600
r10459457_Mo-Su,05:00:00,22:00:00,1200
r10459456_Mo-Su,05:00:00,22:00:00,1200
r10460516_Mo-Su,05:00:00,22:00:00,1200
r10460515_Mo-Su,05:00:00,22:00:00,1200
r10460656_Mo-Su,05:00:00,22:00:00,900
r10460655_Mo-Su,05:00:00,22:00:00,900
r10460967_Mo-Su,05:00:00,22:00:00,900
r10460966_Mo-Su,05:00:00,22:00:00,900
r10474251_Mo-Su,05:00:00,22:00:00,900
r10474250_Mo-Su,05:00:00,22:00:00,900
r10461306_Mo-Su,05:00:00,22:00:00,1200
r10461305_Mo-Su,05:00:00,22:00:00,1200
r10461958_Mo-Su,05:00:00,07:00:00,7200
r10461958_Mo-Su,07:00:00,09:00:00,2400
r10461958_Mo-Su,09:00:00,17:00:00,840
r10461958_Mo-Su,17:00:00,20:00:00,10800
r10461957_Mo-Su,05:00:00,07:00:00,7200
r10461957_Mo-Su,07:00:00,09:00:00,2400
r10461957_Mo-Su,09:00:00,17:00:00,840
r10461957_Mo-Su,17:00:00,20:00:00,10800
r10416468_Mo-Su,05:30:00,20:30:00,1800
r10416469_Mo-Su,05:30:00,20:30:00,1800
r10465033_Mo-Su,05:00:00,22:00:00,1800
r10465034_Mo-Su,05:00:00,22:00:00,1800
r10474494_Mo-Su,05:00:00,07:00:00,1440
r10474494_Mo-Su,07:00:00,09:00:00,1800
r10474494_Mo-Su,09:00:00,17:00:00,420
r10474494_Mo-Su,17:00:00,20:00:00,720
r10474493_Mo-Su,05:00:00,07:00:00,1440
r10474493_Mo-Su,07:00:00,09:00:00,1800
r10474493_Mo-Su,09:00:00,17:00:00,420
r10474493_Mo-Su,17:00:00,20:00:00,720
r10474746_Mo-Su,05:00:00,22:00:00,1200
r10474745_Mo-Su,05:00:00,22:00:00,1200
r10476004_Mo-Su,05:00:00,22:00:00,3600
r10476003_Mo-Su,05:00:00,22:00:00,3600
r10476177_Mo-Su,05:00:00,22:00:00,3600
r10476176_Mo-Su,05:00:00,22:00:00,3600
r10476297_Mo-Su,05:00:00,22:00:00,3600
r10476296_Mo-Su,05:00:00,22:00:00,3600
r10480216_Mo-Su,05:00:00,22:00:00,3600
r10480215_Mo-Su,05:00:00,22:00:00,3600
r10480358_Mo-Su,05:00:00,22:00:00,1200
r10480359_Mo-Su,05:00:00,22:00:00,1200
r10480445_Mo-Su,05:00:00,22:00:00,1200
r10480444_Mo-Su,05:00:00,22:00:00,1200
r10480459_Mo-Su,05:00:00,22:00:00,3600
r10480460_Mo-Su,05:00:00,22:00:00,3600
